odom robot x,odom robot y,odom robot th,icp robot x,icp robot y,icp robot th,final robot x,final robot y,final robot th
285.755859,290.683441,-168.02626,295.384308,297.356781,-177.236633,287.681549,292.018097,-168.947296
264.003662,286.246674,-167.841354,273.764893,295.235352,-175.903839,265.955902,288.044403,-168.647598
225.947937,278.045593,-167.479279,252.903168,290.076324,-174.399521,231.338989,280.451752,-168.171295
205.218658,273.098694,-166.405945,206.643463,300.840271,-181.011887,205.503616,278.647003,-167.866547
224.311264,85.335709,-167.632935,249.408569,111.307632,-180.008804,229.330719,90.53009,-168.870514
255.39389,92.467972,-167.152374,289.29126,113.118317,-179.979828,262.17337,96.598038,-168.43512
374.797668,118.262512,-168.007294,365.611603,109.960548,-182.756302,372.960449,116.602119,-169.482193
397.095001,122.733093,-168.007294,390.055328,108.923584,-182.396378,395.687073,119.971191,-169.446198
412.465698,125.909431,-168.494415,401.805756,108.001656,-183.221756,410.33371,122.327873,-169.967148
445.762817,132.62085,-168.525375,432.225037,104.664375,-182.797989,443.055267,127.029556,-169.952637
474.522217,138.535034,-168.773224,449.514618,102.597031,-183.165833,474.022064,137.816269,-170.212479
493.354187,142.649353,-168.95578,468.546417,102.155251,-183.237717,492.858032,141.839478,-170.383972
503.671936,144.507889,-168.034576,483.047485,99.734085,-182.787338,503.25946,143.612411,-169.509857
522.462341,148.23967,-168.788803,493.772247,97.639473,-183.655289,521.88855,147.227661,-170.275452
543.61969,173.441559,-167.748993,515.381042,115.666168,-183.189255,543.054932,172.286057,-169.293015
585.18634,181.738663,-166.203201,555.224182,115.456001,-180.467545,584.587097,180.41301,-167.629639
598.011414,184.759262,-166.750076,564.739746,114.884232,-180.864426,597.346008,183.361755,-168.161514
636.623901,193.897537,-166.309738,606.796143,113.252907,-180.755722,636.027344,192.284637,-167.754333
677.019043,203.355835,-166.56192,648.991638,105.787323,-183.09407,676.458496,201.404465,-168.215134
758.133179,223.155334,-166.264313,726.265076,95.985367,-189.829315,757.495789,220.611938,-168.620819
